ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,USUARIO_ID,MANTENIMIENTO_ID
1,DESGASTE,2024-06-04T00:00:00,CERRADA,"['877-15-7376', '467-34-2729']",['MNT-13905']
2,DESGASTE,2023-10-18T00:00:00,ABIERTA,"['592-42-6016', '339-07-9203']",['MNT-00687']
3,ROTURA,2024-07-27T00:00:00,CERRADA,"['012-65-0978', '976-02-8152']",['MNT-00376']
4,VANDALISMO,2023-12-25T00:00:00,CERRADA,"['588-11-9551', '532-78-5662', '166-45-6290']",['MNT-02131']
5,MAL FUNCIONAMIENTO,2024-01-14T00:00:00,CERRADA,"['004-60-5880', '563-73-1437']","['MNT-05277', 'MNT-08362']"
6,MAL FUNCIONAMIENTO,2024-06-16T00:00:00,CERRADA,['243-58-3707'],['MNT-00817']
7,MAL FUNCIONAMIENTO,2023-11-29T00:00:00,ABIERTA,"['568-97-1438', '060-60-3082']",['MNT-13919']
8,DESGASTE,2024-07-11T00:00:00,ABIERTA,"['796-05-5365', '885-57-6046']",['MNT-12758']
9,MAL FUNCIONAMIENTO,2024-03-30T00:00:00,CERRADA,"['845-09-0809', '326-82-2881']",['MNT-01303']
10,ROTURA,2024-08-14T00:00:00,CERRADA,['593-69-8841'],['MNT-05048']
11,VANDALISMO,2024-10-10T00:00:00,CERRADA,"['090-00-7405', '071-19-1066', '229-65-4862']","['MNT-07427', 'MNT-14453']"
12,DESGASTE,2023-12-17T00:00:00,CERRADA,['176-13-0825'],['MNT-10750']
13,MAL FUNCIONAMIENTO,2024-07-20T00:00:00,CERRADA,"['766-49-4521', '178-54-7373', '885-67-2471']","['MNT-03278', 'MNT-11201']"
14,DESGASTE,2024-09-27T00:00:00,CERRADA,['597-15-0862'],['MNT-14451']
15,DESGASTE,2023-10-25T00:00:00,CERRADA,"['362-42-8620', '718-53-6721']","['MNT-04397', 'MNT-04960']"
16,DESGASTE,2024-01-20T00:00:00,ABIERTA,['199-84-4323'],['MNT-00498']
17,VANDALISMO,2024-07-09T00:00:00,ABIERTA,"['095-45-4865', '707-18-9915', '799-14-3002']",['MNT-10246']
18,MAL FUNCIONAMIENTO,2024-02-06T00:00:00,CERRADA,['813-75-9847'],['MNT-11472']
19,DESGASTE,2024-02-11T00:00:00,CERRADA,"['474-19-4063', '458-07-3973', '990-13-7252']","['MNT-01733', 'MNT-11172']"
20,VANDALISMO,2024-05-01T00:00:00,CERRADA,['629-15-3222'],['MNT-10095']
21,MAL FUNCIONAMIENTO,2023-10-21T00:00:00,ABIERTA,"['282-52-9975', '384-61-9704']",['MNT-09042']
22,MAL FUNCIONAMIENTO,2024-06-10T00:00:00,CERRADA,['096-22-0670'],['MNT-11353']
23,ROTURA,2024-01-27T00:00:00,ABIERTA,"['604-91-2343', '406-56-3619', '307-27-1424']",['MNT-09042']
24,MAL FUNCIONAMIENTO,2024-09-28T00:00:00,ABIERTA,['948-96-6590'],"['MNT-03568', 'MNT-09550']"
25,MAL FUNCIONAMIENTO,2023-12-24T00:00:00,ABIERTA,['566-61-3591'],['MNT-03597']
26,DESGASTE,2024-08-05T00:00:00,CERRADA,"['500-90-6672', '245-63-5707', '317-56-5131']",['MNT-00821']
27,DESGASTE,2024-10-01T00:00:00,CERRADA,"['112-42-8189', '370-99-8984', '367-10-4674']",['MNT-06922']
28,MAL FUNCIONAMIENTO,2023-10-28T00:00:00,ABIERTA,"['249-99-1099', '404-10-1370']",['MNT-06286']
29,VANDALISMO,2024-08-19T00:00:00,ABIERTA,"['508-98-5154', '378-11-4367', '378-11-4367']",['MNT-13953']
30,VANDALISMO,2024-04-18T00:00:00,CERRADA,['972-87-4607'],['MNT-14904']
31,DESGASTE,2024-09-30T00:00:00,CERRADA,"['223-42-0669', '449-74-0186', '398-59-2924']",['MNT-06337']
32,DESGASTE,2024-04-30T00:00:00,ABIERTA,"['801-97-2555', '093-35-3953', '708-79-2896']","['MNT-09082', 'MNT-11531']"
33,MAL FUNCIONAMIENTO,2024-02-03T00:00:00,ABIERTA,"['593-44-5401', '398-08-9022']",['MNT-04581']
34,MAL FUNCIONAMIENTO,2024-03-19T00:00:00,CERRADA,"['911-89-5856', '280-56-6309']",['MNT-14143']
35,VANDALISMO,2024-06-13T00:00:00,CERRADA,['395-06-9681'],"['MNT-00559', 'MNT-05565']"
36,ROTURA,2024-06-05T00:00:00,ABIERTA,['797-83-0198'],['MNT-13540']
37,DESGASTE,2024-03-27T00:00:00,CERRADA,['268-12-9651'],"['MNT-02841', 'MNT-08770']"
38,VANDALISMO,2024-08-28T00:00:00,CERRADA,"['506-12-3016', '724-54-6205']",['MNT-09589']
39,ROTURA,2024-05-30T00:00:00,ABIERTA,"['148-81-7465', '892-51-8894', '277-22-2474']","['MNT-04881', 'MNT-10453']"
40,VANDALISMO,2024-03-02T00:00:00,ABIERTA,['277-13-4981'],['MNT-04290']
41,MAL FUNCIONAMIENTO,2024-02-07T00:00:00,CERRADA,['896-45-6813'],['MNT-08378']
42,ROTURA,2024-04-28T00:00:00,CERRADA,"['733-04-2086', '735-30-7385', '003-12-7817']",['MNT-12228']
43,MAL FUNCIONAMIENTO,2024-08-26T00:00:00,CERRADA,"['176-49-6345', '271-42-0156', '199-53-0558']",['MNT-13503']
44,VANDALISMO,2024-06-18T00:00:00,CERRADA,['351-49-6681'],['MNT-07333']
45,DESGASTE,2024-09-19T00:00:00,ABIERTA,['461-89-3669'],['MNT-14756']
46,VANDALISMO,2024-02-11T00:00:00,CERRADA,"['888-99-5847', '193-18-4017', '053-99-8190']",['MNT-00842']
47,ROTURA,2024-04-14T00:00:00,CERRADA,"['632-00-3897', '459-73-0908', '668-32-8793']",['MNT-01462']
48,ROTURA,2024-10-10T00:00:00,ABIERTA,"['596-19-1998', '286-98-4422', '041-15-2415']","['MNT-02297', 'MNT-02494']"
49,ROTURA,2024-10-08T00:00:00,CERRADA,"['689-32-4439', '873-27-3314', '913-85-6147']",['MNT-02179']
50,ROTURA,2024-01-27T00:00:00,ABIERTA,['863-33-3766'],['MNT-07750']
51,VANDALISMO,2024-06-14T00:00:00,ABIERTA,['869-34-7706'],['MNT-01438']
52,MAL FUNCIONAMIENTO,2024-09-14T00:00:00,CERRADA,"['142-30-5668', '955-90-1850']",['MNT-08133']
53,ROTURA,2024-02-07T00:00:00,ABIERTA,['738-70-3572'],['MNT-08945']
54,DESGASTE,2024-09-15T00:00:00,CERRADA,"['014-33-4371', '508-48-3418', '387-76-2628']",['MNT-14807']
55,VANDALISMO,2024-10-06T00:00:00,ABIERTA,"['541-92-0256', '856-89-1964', '016-30-7094']",['MNT-11370']
56,MAL FUNCIONAMIENTO,2023-12-13T00:00:00,CERRADA,"['117-80-0652', '060-21-9395', '089-59-2419']","['MNT-12152', 'MNT-12720']"
57,VANDALISMO,2024-08-29T00:00:00,ABIERTA,['172-97-8724'],['MNT-13468']
58,VANDALISMO,2024-09-03T00:00:00,CERRADA,"['871-28-1730', '541-59-4325', '471-54-1054']",['MNT-00587']
59,VANDALISMO,2024-08-26T00:00:00,CERRADA,"['690-16-4774', '418-44-8103']",['MNT-01539']
60,ROTURA,2024-08-03T00:00:00,CERRADA,"['250-40-0290', '782-70-6692', '401-29-1803']","['MNT-01989', 'MNT-08098']"
61,DESGASTE,2024-03-22T00:00:00,ABIERTA,"['100-01-0264', '410-33-9822']",['MNT-09734']
62,MAL FUNCIONAMIENTO,2024-08-23T00:00:00,CERRADA,['322-98-2998'],['MNT-02632']
63,DESGASTE,2024-03-07T00:00:00,ABIERTA,"['479-94-4802', '032-03-7429']",['MNT-03607']
64,ROTURA,2024-03-08T00:00:00,ABIERTA,['901-73-6249'],['MNT-07756']
65,DESGASTE,2024-01-26T00:00:00,CERRADA,['241-48-9310'],['MNT-09794']
66,MAL FUNCIONAMIENTO,2024-10-11T00:00:00,CERRADA,"['808-83-2834', '555-94-9326', '711-02-3044']",['MNT-08081']
67,ROTURA,2024-01-16T00:00:00,CERRADA,"['090-73-5016', '018-48-4998', '236-66-5410']","['MNT-07601', 'MNT-11223']"
68,ROTURA,2024-09-29T00:00:00,CERRADA,"['889-06-0212', '223-67-7660']","['MNT-02315', 'MNT-12518']"
69,DESGASTE,2024-09-28T00:00:00,CERRADA,"['597-83-3782', '438-90-8611', '310-67-5019']",['MNT-03205']
70,VANDALISMO,2024-02-03T00:00:00,CERRADA,"['288-08-3515', '901-67-6635']",['MNT-11544']
71,VANDALISMO,2024-03-16T00:00:00,CERRADA,"['778-65-5960', '282-19-2052']",['MNT-04456']
72,VANDALISMO,2024-10-05T00:00:00,CERRADA,['460-57-1099'],['MNT-12063']
73,DESGASTE,2024-06-07T00:00:00,ABIERTA,"['305-88-3625', '753-54-9380', '738-87-3253']",['MNT-03462']
74,DESGASTE,2024-02-14T00:00:00,CERRADA,"['154-86-3026', '138-40-0694', '032-33-8307']",['MNT-01352']
75,DESGASTE,2023-11-16T00:00:00,CERRADA,"['733-85-7189', '603-85-7965']",['MNT-10547']
76,MAL FUNCIONAMIENTO,2024-07-05T00:00:00,CERRADA,"['260-90-2212', '841-37-3199', '628-45-2561']",['MNT-06303']
77,DESGASTE,2024-03-20T00:00:00,CERRADA,"['311-23-9012', '542-71-1216']",['MNT-13487']
78,ROTURA,2024-09-30T00:00:00,ABIERTA,['085-97-4774'],['MNT-02057']
79,MAL FUNCIONAMIENTO,2024-05-07T00:00:00,CERRADA,"['127-70-7755', '837-71-6783']",['MNT-14167']
80,MAL FUNCIONAMIENTO,2023-11-25T00:00:00,ABIERTA,['894-46-2114'],"['MNT-04031', 'MNT-12053']"
